section,emoji_handle,emoji_link
People,bowtie,http://www.emoji-cheat-sheet.com/graphics/emojis/bowtie.png
People,smile,http://www.emoji-cheat-sheet.com/graphics/emojis/smile.png
People,laughing,http://www.emoji-cheat-sheet.com/graphics/emojis/laughing.png
People,blush,http://www.emoji-cheat-sheet.com/graphics/emojis/blush.png
People,smiley,http://www.emoji-cheat-sheet.com/graphics/emojis/smiley.png
People,relaxed,http://www.emoji-cheat-sheet.com/graphics/emojis/relaxed.png
People,smirk,http://www.emoji-cheat-sheet.com/graphics/emojis/smirk.png
People,heart_eyes,http://www.emoji-cheat-sheet.com/graphics/emojis/heart_eyes.png
People,kissing_heart,http://www.emoji-cheat-sheet.com/graphics/emojis/kissing_heart.png
People,kissing_closed_eyes,http://www.emoji-cheat-sheet.com/graphics/emojis/kissing_closed_eyes.png
People,flushed,http://www.emoji-cheat-sheet.com/graphics/emojis/flushed.png
People,relieved,http://www.emoji-cheat-sheet.com/graphics/emojis/relieved.png
People,satisfied,http://www.emoji-cheat-sheet.com/graphics/emojis/satisfied.png
People,grin,http://www.emoji-cheat-sheet.com/graphics/emojis/grin.png
People,wink,http://www.emoji-cheat-sheet.com/graphics/emojis/wink.png
People,stuck_out_tongue_winking_eye,http://www.emoji-cheat-sheet.com/graphics/emojis/stuck_out_tongue_winking_eye.png
People,stuck_out_tongue_closed_eyes,http://www.emoji-cheat-sheet.com/graphics/emojis/stuck_out_tongue_closed_eyes.png
People,grinning,http://www.emoji-cheat-sheet.com/graphics/emojis/grinning.png
People,kissing,http://www.emoji-cheat-sheet.com/graphics/emojis/kissing.png
People,kissing_smiling_eyes,http://www.emoji-cheat-sheet.com/graphics/emojis/kissing_smiling_eyes.png
People,stuck_out_tongue,http://www.emoji-cheat-sheet.com/graphics/emojis/stuck_out_tongue.png
People,sleeping,http://www.emoji-cheat-sheet.com/graphics/emojis/sleeping.png
People,worried,http://www.emoji-cheat-sheet.com/graphics/emojis/worried.png
People,frowning,http://www.emoji-cheat-sheet.com/graphics/emojis/frowning.png
People,anguished,http://www.emoji-cheat-sheet.com/graphics/emojis/anguished.png
People,open_mouth,http://www.emoji-cheat-sheet.com/graphics/emojis/open_mouth.png
People,grimacing,http://www.emoji-cheat-sheet.com/graphics/emojis/grimacing.png
People,confused,http://www.emoji-cheat-sheet.com/graphics/emojis/confused.png
People,hushed,http://www.emoji-cheat-sheet.com/graphics/emojis/hushed.png
People,expressionless,http://www.emoji-cheat-sheet.com/graphics/emojis/expressionless.png
People,unamused,http://www.emoji-cheat-sheet.com/graphics/emojis/unamused.png
People,sweat_smile,http://www.emoji-cheat-sheet.com/graphics/emojis/sweat_smile.png
People,sweat,http://www.emoji-cheat-sheet.com/graphics/emojis/sweat.png
People,disappointed_relieved,http://www.emoji-cheat-sheet.com/graphics/emojis/disappointed_relieved.png
People,weary,http://www.emoji-cheat-sheet.com/graphics/emojis/weary.png
People,pensive,http://www.emoji-cheat-sheet.com/graphics/emojis/pensive.png
People,disappointed,http://www.emoji-cheat-sheet.com/graphics/emojis/disappointed.png
People,confounded,http://www.emoji-cheat-sheet.com/graphics/emojis/confounded.png
People,fearful,http://www.emoji-cheat-sheet.com/graphics/emojis/fearful.png
People,cold_sweat,http://www.emoji-cheat-sheet.com/graphics/emojis/cold_sweat.png
People,persevere,http://www.emoji-cheat-sheet.com/graphics/emojis/persevere.png
People,cry,http://www.emoji-cheat-sheet.com/graphics/emojis/cry.png
People,sob,http://www.emoji-cheat-sheet.com/graphics/emojis/sob.png
People,joy,http://www.emoji-cheat-sheet.com/graphics/emojis/joy.png
People,astonished,http://www.emoji-cheat-sheet.com/graphics/emojis/astonished.png
People,scream,http://www.emoji-cheat-sheet.com/graphics/emojis/scream.png
People,neckbeard,http://www.emoji-cheat-sheet.com/graphics/emojis/neckbeard.png
People,tired_face,http://www.emoji-cheat-sheet.com/graphics/emojis/tired_face.png
People,angry,http://www.emoji-cheat-sheet.com/graphics/emojis/angry.png
People,rage,http://www.emoji-cheat-sheet.com/graphics/emojis/rage.png
People,triumph,http://www.emoji-cheat-sheet.com/graphics/emojis/triumph.png
People,sleepy,http://www.emoji-cheat-sheet.com/graphics/emojis/sleepy.png
People,yum,http://www.emoji-cheat-sheet.com/graphics/emojis/yum.png
People,mask,http://www.emoji-cheat-sheet.com/graphics/emojis/mask.png
People,sunglasses,http://www.emoji-cheat-sheet.com/graphics/emojis/sunglasses.png
People,dizzy_face,http://www.emoji-cheat-sheet.com/graphics/emojis/dizzy_face.png
People,imp,http://www.emoji-cheat-sheet.com/graphics/emojis/imp.png
People,smiling_imp,http://www.emoji-cheat-sheet.com/graphics/emojis/smiling_imp.png
People,neutral_face,http://www.emoji-cheat-sheet.com/graphics/emojis/neutral_face.png
People,no_mouth,http://www.emoji-cheat-sheet.com/graphics/emojis/no_mouth.png
People,innocent,http://www.emoji-cheat-sheet.com/graphics/emojis/innocent.png
People,alien,http://www.emoji-cheat-sheet.com/graphics/emojis/alien.png
People,yellow_heart,http://www.emoji-cheat-sheet.com/graphics/emojis/yellow_heart.png
People,blue_heart,http://www.emoji-cheat-sheet.com/graphics/emojis/blue_heart.png
People,purple_heart,http://www.emoji-cheat-sheet.com/graphics/emojis/purple_heart.png
People,heart,http://www.emoji-cheat-sheet.com/graphics/emojis/heart.png
People,green_heart,http://www.emoji-cheat-sheet.com/graphics/emojis/green_heart.png
People,broken_heart,http://www.emoji-cheat-sheet.com/graphics/emojis/broken_heart.png
People,heartbeat,http://www.emoji-cheat-sheet.com/graphics/emojis/heartbeat.png
People,heartpulse,http://www.emoji-cheat-sheet.com/graphics/emojis/heartpulse.png
People,two_hearts,http://www.emoji-cheat-sheet.com/graphics/emojis/two_hearts.png
People,revolving_hearts,http://www.emoji-cheat-sheet.com/graphics/emojis/revolving_hearts.png
People,cupid,http://www.emoji-cheat-sheet.com/graphics/emojis/cupid.png
People,sparkling_heart,http://www.emoji-cheat-sheet.com/graphics/emojis/sparkling_heart.png
People,sparkles,http://www.emoji-cheat-sheet.com/graphics/emojis/sparkles.png
People,star,http://www.emoji-cheat-sheet.com/graphics/emojis/star.png
People,star2,http://www.emoji-cheat-sheet.com/graphics/emojis/star2.png
People,dizzy,http://www.emoji-cheat-sheet.com/graphics/emojis/dizzy.png
People,boom,http://www.emoji-cheat-sheet.com/graphics/emojis/boom.png
People,collision,http://www.emoji-cheat-sheet.com/graphics/emojis/collision.png
People,anger,http://www.emoji-cheat-sheet.com/graphics/emojis/anger.png
People,exclamation,http://www.emoji-cheat-sheet.com/graphics/emojis/exclamation.png
People,question,http://www.emoji-cheat-sheet.com/graphics/emojis/question.png
People,grey_exclamation,http://www.emoji-cheat-sheet.com/graphics/emojis/grey_exclamation.png
People,grey_question,http://www.emoji-cheat-sheet.com/graphics/emojis/grey_question.png
People,zzz,http://www.emoji-cheat-sheet.com/graphics/emojis/zzz.png
People,dash,http://www.emoji-cheat-sheet.com/graphics/emojis/dash.png
People,sweat_drops,http://www.emoji-cheat-sheet.com/graphics/emojis/sweat_drops.png
People,notes,http://www.emoji-cheat-sheet.com/graphics/emojis/notes.png
People,musical_note,http://www.emoji-cheat-sheet.com/graphics/emojis/musical_note.png
People,fire,http://www.emoji-cheat-sheet.com/graphics/emojis/fire.png
People,hankey,http://www.emoji-cheat-sheet.com/graphics/emojis/hankey.png
People,poop,http://www.emoji-cheat-sheet.com/graphics/emojis/poop.png
People,shit,http://www.emoji-cheat-sheet.com/graphics/emojis/shit.png
People,+1,http://www.emoji-cheat-sheet.com/graphics/emojis/plus1.png
People,thumbsup,http://www.emoji-cheat-sheet.com/graphics/emojis/thumbsup.png
People,-1,http://www.emoji-cheat-sheet.com/graphics/emojis/-1.png
People,thumbsdown,http://www.emoji-cheat-sheet.com/graphics/emojis/thumbsdown.png
People,ok_hand,http://www.emoji-cheat-sheet.com/graphics/emojis/ok_hand.png
People,punch,http://www.emoji-cheat-sheet.com/graphics/emojis/punch.png
People,facepunch,http://www.emoji-cheat-sheet.com/graphics/emojis/facepunch.png
People,fist,http://www.emoji-cheat-sheet.com/graphics/emojis/fist.png
People,v,http://www.emoji-cheat-sheet.com/graphics/emojis/v.png
People,wave,http://www.emoji-cheat-sheet.com/graphics/emojis/wave.png
People,hand,http://www.emoji-cheat-sheet.com/graphics/emojis/hand.png
People,raised_hand,http://www.emoji-cheat-sheet.com/graphics/emojis/raised_hand.png
People,open_hands,http://www.emoji-cheat-sheet.com/graphics/emojis/open_hands.png
People,point_up,http://www.emoji-cheat-sheet.com/graphics/emojis/point_up.png
People,point_down,http://www.emoji-cheat-sheet.com/graphics/emojis/point_down.png
People,point_left,http://www.emoji-cheat-sheet.com/graphics/emojis/point_left.png
People,point_right,http://www.emoji-cheat-sheet.com/graphics/emojis/point_right.png
People,raised_hands,http://www.emoji-cheat-sheet.com/graphics/emojis/raised_hands.png
People,pray,http://www.emoji-cheat-sheet.com/graphics/emojis/pray.png
People,point_up_2,http://www.emoji-cheat-sheet.com/graphics/emojis/point_up_2.png
People,clap,http://www.emoji-cheat-sheet.com/graphics/emojis/clap.png
People,muscle,http://www.emoji-cheat-sheet.com/graphics/emojis/muscle.png
People,metal,http://www.emoji-cheat-sheet.com/graphics/emojis/metal.png
People,fu,http://www.emoji-cheat-sheet.com/graphics/emojis/fu.png
People,runner,http://www.emoji-cheat-sheet.com/graphics/emojis/runner.png
People,running,http://www.emoji-cheat-sheet.com/graphics/emojis/running.png
People,couple,http://www.emoji-cheat-sheet.com/graphics/emojis/couple.png
People,family,http://www.emoji-cheat-sheet.com/graphics/emojis/family.png
People,two_men_holding_hands,http://www.emoji-cheat-sheet.com/graphics/emojis/two_men_holding_hands.png
People,two_women_holding_hands,http://www.emoji-cheat-sheet.com/graphics/emojis/two_women_holding_hands.png
People,dancer,http://www.emoji-cheat-sheet.com/graphics/emojis/dancer.png
People,dancers,http://www.emoji-cheat-sheet.com/graphics/emojis/dancers.png
People,ok_woman,http://www.emoji-cheat-sheet.com/graphics/emojis/ok_woman.png
People,no_good,http://www.emoji-cheat-sheet.com/graphics/emojis/no_good.png
People,information_desk_person,http://www.emoji-cheat-sheet.com/graphics/emojis/information_desk_person.png
People,raising_hand,http://www.emoji-cheat-sheet.com/graphics/emojis/raising_hand.png
People,bride_with_veil,http://www.emoji-cheat-sheet.com/graphics/emojis/bride_with_veil.png
People,person_with_pouting_face,http://www.emoji-cheat-sheet.com/graphics/emojis/person_with_pouting_face.png
People,person_frowning,http://www.emoji-cheat-sheet.com/graphics/emojis/person_frowning.png
People,bow,http://www.emoji-cheat-sheet.com/graphics/emojis/bow.png
People,couplekiss,http://www.emoji-cheat-sheet.com/graphics/emojis/couplekiss.png
People,couple_with_heart,http://www.emoji-cheat-sheet.com/graphics/emojis/couple_with_heart.png
People,massage,http://www.emoji-cheat-sheet.com/graphics/emojis/massage.png
People,haircut,http://www.emoji-cheat-sheet.com/graphics/emojis/haircut.png
People,nail_care,http://www.emoji-cheat-sheet.com/graphics/emojis/nail_care.png
People,boy,http://www.emoji-cheat-sheet.com/graphics/emojis/boy.png
People,girl,http://www.emoji-cheat-sheet.com/graphics/emojis/girl.png
People,woman,http://www.emoji-cheat-sheet.com/graphics/emojis/woman.png
People,man,http://www.emoji-cheat-sheet.com/graphics/emojis/man.png
People,baby,http://www.emoji-cheat-sheet.com/graphics/emojis/baby.png
People,older_woman,http://www.emoji-cheat-sheet.com/graphics/emojis/older_woman.png
People,older_man,http://www.emoji-cheat-sheet.com/graphics/emojis/older_man.png
People,person_with_blond_hair,http://www.emoji-cheat-sheet.com/graphics/emojis/person_with_blond_hair.png
People,man_with_gua_pi_mao,http://www.emoji-cheat-sheet.com/graphics/emojis/man_with_gua_pi_mao.png
People,man_with_turban,http://www.emoji-cheat-sheet.com/graphics/emojis/man_with_turban.png
People,construction_worker,http://www.emoji-cheat-sheet.com/graphics/emojis/construction_worker.png
People,cop,http://www.emoji-cheat-sheet.com/graphics/emojis/cop.png
People,angel,http://www.emoji-cheat-sheet.com/graphics/emojis/angel.png
People,princess,http://www.emoji-cheat-sheet.com/graphics/emojis/princess.png
People,smiley_cat,http://www.emoji-cheat-sheet.com/graphics/emojis/smiley_cat.png
People,smile_cat,http://www.emoji-cheat-sheet.com/graphics/emojis/smile_cat.png
People,heart_eyes_cat,http://www.emoji-cheat-sheet.com/graphics/emojis/heart_eyes_cat.png
People,kissing_cat,http://www.emoji-cheat-sheet.com/graphics/emojis/kissing_cat.png
People,smirk_cat,http://www.emoji-cheat-sheet.com/graphics/emojis/smirk_cat.png
People,scream_cat,http://www.emoji-cheat-sheet.com/graphics/emojis/scream_cat.png
People,crying_cat_face,http://www.emoji-cheat-sheet.com/graphics/emojis/crying_cat_face.png
People,joy_cat,http://www.emoji-cheat-sheet.com/graphics/emojis/joy_cat.png
People,pouting_cat,http://www.emoji-cheat-sheet.com/graphics/emojis/pouting_cat.png
People,japanese_ogre,http://www.emoji-cheat-sheet.com/graphics/emojis/japanese_ogre.png
People,japanese_goblin,http://www.emoji-cheat-sheet.com/graphics/emojis/japanese_goblin.png
People,see_no_evil,http://www.emoji-cheat-sheet.com/graphics/emojis/see_no_evil.png
People,hear_no_evil,http://www.emoji-cheat-sheet.com/graphics/emojis/hear_no_evil.png
People,speak_no_evil,http://www.emoji-cheat-sheet.com/graphics/emojis/speak_no_evil.png
People,guardsman,http://www.emoji-cheat-sheet.com/graphics/emojis/guardsman.png
People,skull,http://www.emoji-cheat-sheet.com/graphics/emojis/skull.png
People,feet,http://www.emoji-cheat-sheet.com/graphics/emojis/feet.png
People,lips,http://www.emoji-cheat-sheet.com/graphics/emojis/lips.png
People,kiss,http://www.emoji-cheat-sheet.com/graphics/emojis/kiss.png
People,droplet,http://www.emoji-cheat-sheet.com/graphics/emojis/droplet.png
People,ear,http://www.emoji-cheat-sheet.com/graphics/emojis/ear.png
People,eyes,http://www.emoji-cheat-sheet.com/graphics/emojis/eyes.png
People,nose,http://www.emoji-cheat-sheet.com/graphics/emojis/nose.png
People,tongue,http://www.emoji-cheat-sheet.com/graphics/emojis/tongue.png
People,love_letter,http://www.emoji-cheat-sheet.com/graphics/emojis/love_letter.png
People,bust_in_silhouette,http://www.emoji-cheat-sheet.com/graphics/emojis/bust_in_silhouette.png
People,busts_in_silhouette,http://www.emoji-cheat-sheet.com/graphics/emojis/busts_in_silhouette.png
People,speech_balloon,http://www.emoji-cheat-sheet.com/graphics/emojis/speech_balloon.png
People,thought_balloon,http://www.emoji-cheat-sheet.com/graphics/emojis/thought_balloon.png
People,feelsgood,http://www.emoji-cheat-sheet.com/graphics/emojis/feelsgood.png
People,finnadie,http://www.emoji-cheat-sheet.com/graphics/emojis/finnadie.png
People,goberserk,http://www.emoji-cheat-sheet.com/graphics/emojis/goberserk.png
People,godmode,http://www.emoji-cheat-sheet.com/graphics/emojis/godmode.png
People,hurtrealbad,http://www.emoji-cheat-sheet.com/graphics/emojis/hurtrealbad.png
People,rage1,http://www.emoji-cheat-sheet.com/graphics/emojis/rage1.png
People,rage2,http://www.emoji-cheat-sheet.com/graphics/emojis/rage2.png
People,rage3,http://www.emoji-cheat-sheet.com/graphics/emojis/rage3.png
People,rage4,http://www.emoji-cheat-sheet.com/graphics/emojis/rage4.png
People,suspect,http://www.emoji-cheat-sheet.com/graphics/emojis/suspect.png
People,trollface,http://www.emoji-cheat-sheet.com/graphics/emojis/trollface.png
Nature,sunny,http://www.emoji-cheat-sheet.com/graphics/emojis/sunny.png
Nature,umbrella,http://www.emoji-cheat-sheet.com/graphics/emojis/umbrella.png
Nature,cloud,http://www.emoji-cheat-sheet.com/graphics/emojis/cloud.png
Nature,snowflake,http://www.emoji-cheat-sheet.com/graphics/emojis/snowflake.png
Nature,snowman,http://www.emoji-cheat-sheet.com/graphics/emojis/snowman.png
Nature,zap,http://www.emoji-cheat-sheet.com/graphics/emojis/zap.png
Nature,cyclone,http://www.emoji-cheat-sheet.com/graphics/emojis/cyclone.png
Nature,foggy,http://www.emoji-cheat-sheet.com/graphics/emojis/foggy.png
Nature,ocean,http://www.emoji-cheat-sheet.com/graphics/emojis/ocean.png
Nature,cat,http://www.emoji-cheat-sheet.com/graphics/emojis/cat.png
Nature,dog,http://www.emoji-cheat-sheet.com/graphics/emojis/dog.png
Nature,mouse,http://www.emoji-cheat-sheet.com/graphics/emojis/mouse.png
Nature,hamster,http://www.emoji-cheat-sheet.com/graphics/emojis/hamster.png
Nature,rabbit,http://www.emoji-cheat-sheet.com/graphics/emojis/rabbit.png
Nature,wolf,http://www.emoji-cheat-sheet.com/graphics/emojis/wolf.png
Nature,frog,http://www.emoji-cheat-sheet.com/graphics/emojis/frog.png
Nature,tiger,http://www.emoji-cheat-sheet.com/graphics/emojis/tiger.png
Nature,koala,http://www.emoji-cheat-sheet.com/graphics/emojis/koala.png
Nature,bear,http://www.emoji-cheat-sheet.com/graphics/emojis/bear.png
Nature,pig,http://www.emoji-cheat-sheet.com/graphics/emojis/pig.png
Nature,pig_nose,http://www.emoji-cheat-sheet.com/graphics/emojis/pig_nose.png
Nature,cow,http://www.emoji-cheat-sheet.com/graphics/emojis/cow.png
Nature,boar,http://www.emoji-cheat-sheet.com/graphics/emojis/boar.png
Nature,monkey_face,http://www.emoji-cheat-sheet.com/graphics/emojis/monkey_face.png
Nature,monkey,http://www.emoji-cheat-sheet.com/graphics/emojis/monkey.png
Nature,horse,http://www.emoji-cheat-sheet.com/graphics/emojis/horse.png
Nature,racehorse,http://www.emoji-cheat-sheet.com/graphics/emojis/racehorse.png
Nature,camel,http://www.emoji-cheat-sheet.com/graphics/emojis/camel.png
Nature,sheep,http://www.emoji-cheat-sheet.com/graphics/emojis/sheep.png
Nature,elephant,http://www.emoji-cheat-sheet.com/graphics/emojis/elephant.png
Nature,panda_face,http://www.emoji-cheat-sheet.com/graphics/emojis/panda_face.png
Nature,snake,http://www.emoji-cheat-sheet.com/graphics/emojis/snake.png
Nature,bird,http://www.emoji-cheat-sheet.com/graphics/emojis/bird.png
Nature,baby_chick,http://www.emoji-cheat-sheet.com/graphics/emojis/baby_chick.png
Nature,hatched_chick,http://www.emoji-cheat-sheet.com/graphics/emojis/hatched_chick.png
Nature,hatching_chick,http://www.emoji-cheat-sheet.com/graphics/emojis/hatching_chick.png
Nature,chicken,http://www.emoji-cheat-sheet.com/graphics/emojis/chicken.png
