"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","106.2062","102.8116","99.417","94.4542","89.4914","84.5286","79.5658","74.603","71.665","68.727","65.78899","62.85099","59.913","59.0044","58.0958","57.1872","56.2786","55.37","54.9542","54.5384","54.1226","53.70681","53.291","53.0288","52.7666","52.5044","52.2422","51.98","51.41","50.84","50.27","49.7","49.13","48.7648","48.3996","48.0344","47.6692","47.304","46.067","44.83","43.593","42.356","41.119","39.5738","38.0286","36.4834","34.9382","33.393","32.0268","30.6606","29.2944","27.9282","26.562","","",
"Andorra","AND","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","149.624","149.624","149.624","149.624","149.624","149.624","149.624","149.624","149.624","149.624","149.624","149.624","149.624","150.5446","151.4652","152.3858","153.3064","154.227","155.3466","156.4662","157.5858","158.7054","159.825","161.0078","162.1906","163.3734","164.5562","165.739","166.3386","166.9382","167.5378","168.1374","168.737","169.001","169.265","169.529","169.793","170.057","166.1466","162.2362","158.3258","154.4154","150.505","143.8986","137.2922","130.6858","124.0794","117.473","111.3472","105.2214","99.0956","92.9698","86.844","","",
"Angola","AGO","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","232.776","234.048","235.32","235.32","235.32","235.32","235.32","235.32","234.048","232.776","231.504","230.232","228.96","228.96","228.96","228.96","228.96","228.96","228.96","228.96","228.96","228.96","228.96","228.96","228.96","228.96","228.96","228.96","228.3368","227.7136","227.0904","226.4672","225.844","223.687","221.53","219.373","217.216","215.059","212.9832","210.9074","208.8316","206.7558","204.68","202.1942","199.7084","197.2226","194.7368","192.251","187.832","183.413","178.994","174.575","170.156","","",
"Albania","ALB","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","85.6944","84.2402","82.786","81.2328","79.6796","78.1264","76.5732","75.02","73.4526","71.8852","70.3178","68.7504","67.183","65.0994","63.0158","60.93221","58.84861","56.765","55.022","53.279","51.536","49.793","48.05","47.2396","46.4292","45.6188","44.80841","43.998","43.196","42.394","41.592","40.79","39.988","39.3074","38.6268","37.9462","37.2656","36.585","35.2906","33.9962","32.7018","31.4074","30.113","27.9986","25.8842","23.7698","21.6554","19.541","18.6922","17.8434","16.9946","16.1458","15.297","","",
"Arab World","ARB","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","131.85239065122","132.321987213619","132.764856826308","132.169704115572","131.482191822086","130.684524924417","129.771524694163","128.774733717405","126.446282869469","124.12160504505","121.867488795809","119.738009245875","117.716464558191","115.887311494693","114.047305387255","112.142663625273","110.15466906946","108.110750180215","104.740981746068","101.434503968388","98.214242121592","95.0757344385347","91.9886725261638","88.2705937151958","84.5335091209938","80.723563769","76.861661053241","72.9829207963741","71.680536485549","70.4205860368596","69.5185454980918","68.3644847255551","67.6550265493811","65.7729969327947","63.8741871206594","61.7776767854804","59.8695798243546","57.9326729844618","56.6272280306526","55.3146690770757","54.0049485603681","52.7023297395084","51.4134081508884","50.5554614200141","49.7256450877767","48.9329594100592","48.1724370353936","47.4402474591662","46.7164359830473","46.0263583990152","45.3674590054109","44.7348250212631","44.1095776890903","","",
"United Arab Emirates","ARE","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","176.9228","176.4004","175.878","175.3504","174.8228","174.2952","173.7676","173.24","171.14","169.04","166.94","164.84","162.74","159.1704","155.6008","152.0312","148.4616","144.892","139.2702","133.6484","128.0266","122.4048","116.783","108.2294","99.6758","91.12221","82.56861","74.015","67.5586","61.1022","54.6458","48.1894","41.733","38.8972","36.0614","33.2256","30.3898","27.554","27.1554","26.7568","26.3582","25.9596","25.561","26.4232","27.2854","28.1476","29.0098","29.872","29.4226","28.9732","28.5238","28.0744","27.625","","",
"Argentina","ARG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","61.378","61.238","61.098","60.9582","60.8184","60.6786","60.5388","60.399","61.9796","63.5602","65.1408","66.7214","68.302","71.4412","74.5804","77.7196","80.8588","83.998","82.0386","80.0792","78.1198","76.16041","74.201","74.0408","73.8806","73.7204","73.5602","73.4","73.3604","73.3208","73.2812","73.24161","73.202","72.5218","71.8416","71.1614","70.4812","69.801","67.981","66.161","64.341","62.521","60.701","59.9408","59.1806","58.4204","57.6602","56.9","56.3908","55.8816","55.3724","54.8632","54.354","","",
"Armenia","ARM","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","42.8244","44.2432","45.662","44.9044","44.1468","43.3892","42.6316","41.874","41.6992","41.5244","41.3496","41.1748","41","40.6554","40.3108","39.9662","39.6216","39.277","40.5264","41.7758","43.0252","44.2746","45.524","49.4208","53.3176","57.2144","61.1112","65.008","68.0198","71.0316","74.0434","77.05521","80.067","74.032","67.99699","61.96199","55.92699","49.892","46.671","43.45","40.229","37.008","33.787","32.635","31.483","30.331","29.179","28.027","27.8452","27.6634","27.4816","27.2998","27.118","","",
"American Samoa","ASM","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","126.144","124.992","123.84","122.112","120.384","118.656","116.928","115.2","110.9474","106.6948","102.4422","98.1896","93.937","88.0272","82.1174","76.2076","70.29781","64.388","63.8322","63.2764","62.7206","62.16479","61.609","61.215","60.821","60.427","60.033","59.639","60.9356","62.2322","63.5288","64.8254","66.122","66.6432","67.16441","67.68561","68.20681","68.728","67.5386","66.3492","65.1598","63.9704","62.781","61.3234","59.8658","58.4082","56.9506","55.493","54.247","53.001","51.755","50.50901","49.263","","",
"Australia","AUS","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","44.8286","45.0668","45.305","45.9764","46.6478","47.31919","47.99059","48.662","48.6296","48.5972","48.5648","48.53241","48.5","45.1672","41.8344","38.50159","35.16879","31.836","30.687","29.538","28.389","27.24","26.091","25.0928","24.0946","23.0964","22.0982","21.1","21.146","21.192","21.238","21.284","21.33","20.9136","20.4972","20.0808","19.6644","19.248","18.7432","18.2384","17.7336","17.2288","16.724","16.5842","16.4444","16.3046","16.1648","16.025","15.2318","14.4386","13.6454","12.8522","12.059","","",
