Name,Label,Question
HH1,Cluster number,
HH2,Household number,
LN,Line number,
WM1,Cluster number,
WM2,Household number,
WM4,Woman's line number,
WM5,Interviewer number,
WM6D,Day of interview,
WM6M,Month of interview,
WM6Y,Year of interview,
WM7,Result of woman's interview,
WM8,Field editor,
WM9,Data entry clerk,
WM10H,Start of interview - Hour,
WM10M,Start of interview - Minutes,
WM11H,End of interview - Hour,
WM11M,End of interview - Minutes,
WB1M,Month of birth of woman,In what month and year were you born?
WB1Y,Year of birth of woman,In what month and year were you born?
WB2,Age of woman,How old are you?
WB3,Ever attended school,Have you ever attended school or a preschool institution?
WB4,Highest level of school attended,What is the highest education level you attended?
WB5,Highest grade completed at that level,What is the highest grade/year you completed at that level?
WB7,Can read part of the sentence,Now I would like you to read this sentence to me.
MT2,Frequency of reading newspaper or magazine,"How often do you read newspapers or magazines:
Almost every day, at least once a week, less than once a week or not at all?"
MT3,Frequency of listening to the radio,"Do you listen to the radio almost every day, at least once a week, less than once a week or not at all?"
MT4,Frequency of watching TV,"How often do you watch television: Would you say that you watch TV almost every day, at least once a week, less than once a week or not at all?"
MT6,Ever used a computer,Have you ever used a computer?
MT7,Computer usage in the last 12 months,"In the last 12 months, have you used a computer from any location?"
MT8,Frequency of computer usage in the last month,"During the last month, how often did you use a computer: almost every day, at least once a week, less than once a week or not at all?"
MT9,Ever used internet,Have you ever used the Internet?
MT10,Internet usage in the last 12 months,"In the last 12 months, have you used the Internet?"
MT11,Frequency of Internet usage in the past month,"During the last month, how often did you use the internet: almost every day, at least once a week, less than once a week or not at all?"
CM0A,Number of live births,Now I would like to ask about all the births you have had during your lifetime. How many live born children have you had in your entire life?
CM0BD,Day of last birth,What is the date of your last birth (even if the baby died)?
CM0BM,Month of last birth,What is the date of your last birth (even if the baby died)?
CM0BY,Year of last birth,What is the date of your last birth (even if the baby died)?
CM1,Ever given birth,Now I would like to ask about all the births you have had during your life. Have you ever given birth?
CM2D,Day of first birth,"What was the date of your first birth?
I mean the very first time you gave birth, even if the child is no longer living, or whose father is not your current partner."
CM2M,Month of first birth,"What was the date of your first birth?
I mean the very first time you gave birth, even if the child is no longer living, or whose father is not your current partner."
CM2Y,Year of first birth,"What was the date of your first birth?
I mean the very first time you gave birth, even if the child is no longer living, or whose father is not your current partner."
CM3,Years since first birth,How many years ago did you have your first birth?
CM4,Any sons or daughters living with you,Do you have any sons or daughters to whom you have given birth who are now living with you?
CM5A,Sons living with you,How many sons live with you?
CM5B,Daughters living with you,How many daughters live with you?
CM6,Any sons or daughters not living with you,Do you have any sons or daughters to whom you have given birth who are alive but do not live with you?
CM7A,Sons living elsewhere,How many sons are alive but do not live with you?
CM7B,Daughters living elsewhere,How many daughters are alive but do not live with you?
CM8,Ever had child who later died,Have you ever given birth to boy or girl who was born alive but later died?
