"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000001","PUBLISHED","1990","EUR","WB_HI","AND","BTSX","77","77.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","WB_HI","AND","BTSX","80","80.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","AND","FMLE","28","28.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","WB_HI","AND","BTSX","23","23.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EMR","WB_HI","ARE","FMLE","78","78.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","WB_HI","ATG","MLE","72","72.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","AMR","WB_HI","ATG","MLE","17","17.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AMR","WB_HI","ATG","BTSX","22","22.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","WPR","WB_HI","AUS","MLE","81","81.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","WPR","WB_HI","AUS","BTSX","80","80.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","WPR","WB_HI","AUS","BTSX","83","83.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","AUT","FMLE","83","83.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","EUR","WB_HI","AUT","FMLE","25","25.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","EUR","WB_HI","BEL","FMLE","83","83.00000","","",""
"WHOSIS_000001","PUBLISHED","2000","EMR","WB_HI","BHR","MLE","73","73.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","EMR","WB_HI","BHR","FMLE","74","74.00000","","",""
"WHOSIS_000015","PUBLISHED","1990","EMR","WB_HI","BHR","MLE","17","17.00000","","",""
"WHOSIS_000001","PUBLISHED","2012","AMR","WB_HI","BHS","MLE","72","72.00000","","",""
"WHOSIS_000015","PUBLISHED","2000","AMR","WB_HI","BHS","BTSX","21","21.00000","","",""
"WHOSIS_000001","PUBLISHED","1990","AMR","WB_HI","BRB","MLE","71","71.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AMR","WB_HI","BRB","FMLE","25","25.00000","","",""
"WHOSIS_000015","PUBLISHED","2012","AMR","WB_HI","BRB","BTSX","23","23.00000","","",""
