"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","Comments"
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","2180 [516 - 9030]","2180.00000","516.00000","9030.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","ALB","Albania","","159 [130 - 188]","159.00000","130.00000","188.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","DZA","Algeria","","1701 [390-6998]","1701.00000","390.00000","6998.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","AND","Andorra","","1","1.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AFR","Africa","","AGO","Angola","","2232 [526 - 9140]","2232.00000","526.00000","9140.00000",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","ATG","Antigua and Barbuda","","4","4.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","AMR","Americas","","ARG","Argentina","","2445","2445.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","ARM","Armenia","","62","62.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","WPR","Western Pacific","","AUS","Australia","","254","254.00000","","",""
"VIOLENCE_HOMICIDENUM","Estimates of number of homicides","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4464","PUBLISHED","Published","","2012","2012","","EUR","Europe","","AUT","Austria","","77","77.00000","","",""
